iter	Passed	Remaining
0	2	225
1	4	218
2	6	211
3	8	194
4	10	191
5	12	190
6	14	187
7	16	184
8	17	180
9	19	176
10	21	173
11	23	170
12	25	170
13	27	168
14	29	166
15	31	165
16	33	163
17	35	163
18	38	162
19	40	160
20	41	157
21	43	154
22	45	152
23	47	150
24	49	147
25	53	150
26	54	148
27	56	144
28	57	141
29	58	137
30	60	133
31	61	130
32	62	127
33	63	124
34	65	120
35	66	118
36	67	114
37	68	110
38	68	107
39	69	104
40	70	101
41	70	97
42	71	94
43	71	91
44	72	88
45	73	86
46	74	83
47	74	81
48	75	78
49	76	76
50	76	73
51	77	71
52	78	69
53	79	67
54	79	65
55	80	63
56	81	61
57	82	59
58	83	57
59	84	56
60	85	54
61	86	52
62	86	50
63	87	49
64	88	47
65	89	45
66	89	44
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	94	35
73	95	33
74	96	32
75	97	30
76	98	29
77	98	27
78	99	26
79	100	25
80	101	23
81	101	22
82	102	21
83	103	19
84	103	18
85	104	16
86	104	15
87	105	14
88	106	13
89	107	11
90	107	10
91	108	9
92	109	8
93	110	7
94	110	5
95	111	4
96	112	3
97	112	2
98	113	1
99	114	0
